Other Skills,ID
Microservices,18
Airflow,18
MSBI,18
Data Architecture,18
SSAS,18
Unix Shell Scripting,19
Teradata Data Warehouse,19
Hive,19
Apache Pig,19
Sqoop,19
Apache Kafka,19
Apache Spark,19
UC4,19
Teradata,19
Sparksql,19
Sparkstreaming,19
Snowflake,19
Cassandra,19
Data Engineering,19
OBIEE,20
ETL Tools,20
DAC,20
Dimensional Modeling,20
Technology Roadmapping,20
MPP,21
Pentaho Data Integration,21
Workload Automation,21
Data Science,21
Data Analytics,21
Teradata,22
OBIEE,22
Data Warehouse Architecture,22
BTEQ,22
MicroStrategy,22
ODI,22
Business Objects Data Integrator,22
Microstrategy,22
DWH,22
Star Schema,22
Oracle Pro*C,22
IDQ,22
Hive,22
Unix Shell Scripting,22
Hadoop Big Data,22
Omniture,23
Unix Shell Scripting,24
Hive,24
Sqoop,24
Production Support,24
Application Support,24
Cadence,25
Logic Design,25
Cadence Virtuoso,25
Deep Learning,25
Data Science,25
UDF,26
Sqoop,26
Ab Initio,26
Redis,26
Presto,26
Apache Kafka,26
Spark,26
Apache Spark,27
Cassandra,27
Apache Kafka,27
Hive,27
Data Science,27
Functional Programming,27
Emacs,27
Restaurants,28
Apache Kafka,28
Big Data Analytics,29
Alteryx,29
MicroStrategy,29
Apache Spark,29
Spark,29
Music Performance,30
BigTable,30
Scio,30
Dataflow,30
Matplotlib,31
Amazon Redshift,31
Data Science,32
Programming Concepts,32
Apache Spark,32
Time Series Analysis,32
Linear Regression,32
Data Acquisition,32
DataStage,33
Spark,33
Hive,33
Pig,33
Apache Kafka,33
Data Engineering,33
Apache spark,33
OLAP,33
Functional Analysis,33
Data Warehosing,33
Event Hub,33
ADLS GEN2,33
SQL DW,33
Teradata SQL,34
Apache Pig,34
Hive,34
Linear Models,34
Apache Spark,34
Agile Modeling,34
Recommender Systems,34
Presto,34
ITIL v3 Foundations Certified,34
ML,34
Database Development,35
Apache Tajo,35
Berkeley DB,35
Server Side,35
Amazon EC2,36
Neo4j,36
Data Engineering,36
Hive,36
Yarn,36
Big Data Analytics,36
Matplotlib,36
Cassandra,36
Apache ZooKeeper,36
Data Preparation,36
Data Transformation,36
Excel Pivot,36
Vlookup,36
Apache Spark,36
SAS E-Miner,36
Splunk,36
Amazon Redshift,36
XML Schema,37
XQuery,37
SPARQL,37
RDF,37
XPath,37
Semantic Web,37
Racket,37
eXist,37
Data Science,37
Scheme,37
Programming Languages,37
XForms,37
RELAX NG,37
Schematron,37
Standard ML,37
RDFS,37
Metadata,37
Murex,37
awk,37
NIEM,37
Data Science,38
Digital Signal Processing,38
Apache Spark,38
Data Engineering,38
High Performance Computing,38
Service Oriented Architecture (SOA),38
High Frequency Trading,38
Data Guard,39
GoldenGate,39
RMAN,39
Grid Computing,39
Oracle ASM,39
Amazon EC2,39
Cassandra,39
Hive,39
DataGuard,39
ASM,39
OBIEE,39
ETL Tools,39
ElasticSearch,39
Database Security,39
AWS EC2,39
Sqoop,39
Spark,39
Operation,39
Grid Control,39
SQL Tuning,40
Unix Shell Scripting,40
Hive,41
Apache Pig,41
Data Engineering,41
SciPy,41
NLTK,41
Apache Kafka,41
Cassandra,41
Apache Storm,41
Apache ZooKeeper,41
Apache Commons,41
Avro,41
Amazon Redshift,41
SBT,41
Apache Spark,42
ElasticSearch,42
Neural Networks,42
,43
Data Analytics,44
MicroStrategy Reporting,44
ETL Tools,44
Predictive Analytics,44
Data Science,44
Knowledge Discovery,44
Categorical Data Analysis,44
KPI Reports,44
IT Enabled Business Transformation,44
Airflow,45
Vertica,45
Teradata,45
Netezza,45
Certified Scrum Master CSM,45
Reference Data,45
Sqoop,45
Redshift Spectrum,45
Big Data System Design,46
kubernetes,46
devops,46
Real time Data Analytics,46
Log Data System Design,46
IT Consulting,46
,47
Quantitative Finance,48
Financial Engineering,48
Digital Filters,48
DevOps,48
Bitcoin,48
Financial Technology,48
Quantitative Investing,48
Digital Signal Processing,48
Quantitative Risk,48
FPGA prototyping,48
GPU,48
Chip Architecture,48
Data Science,48
Verification,48
Verilog/VHDL,48
4G WiMax/LTE,48
OLAP,49
Apache Kafka,49
Apache Spark,49
Apache Pig,49
Hive,49
Regular Expressions,49
Star Schema,49
Snowflake,49
Amazon Redshift,49
Presto,49
Airflow,49
Containerization,49
Hive,50
Data Engineering,50
Data Analytics,51
Apache Cassendra,51
Apache Spark,51
Predictive Analytics,51
Data Engineering,51
Hive,51
Apache Kafka,51
Apache Kafka,52
Amazon Redshift,52
Cassandra,52
Hive,52
Apache Storm,52
Realtime Streaming,52
OLAP,52
SBT,52
version control,52
Integration Testing,52
Presto,52
Web Scraping,53
Database Development,53
A/B Testing,53
Apache Spark,53
Multivariate Statistics,54
Predictive Analytics,54
Selenium WebDriver,54
Adobe Analytics,54
Scikit-Learn,54
Apache Kafka,54
Apache Spark,54
API Development,54
Data Engineering,54
Cassandra,54
Natural Language Processing (NLP),54
Predictive Modeling,54
ElasticSearch,54
PyUnit,55
Sqoop,55
HTML + CSS,55
Hive,55
Apache Spark,55
SSAS,56
Dimensional Modeling,56
Greenplum,56
ODBC,56
Pentaho,56
data lake,56
Cloud Storage,56
Bitbucket,56
Confluence,56
Continuous Integration and Continuous Delivery (CI/CD),56
Data Science,57
Data Analytics,57
Probability,57
Data Wrangling,57
Stochastic Modeling,57
Stochastic Processes,57
Deep Learning,57
Cryptocurrency,57
Apache Spark,57
Web Scraping,57
Airflow,57
Informatica Administration,58
Actimize,58
Apache Spark,58
Agile Application Development,58
Burp Suite,58
Rational AppScan,58
Amazon EC2,58
Confluence,58
Unix Shell Scripting,58
Data Engineering,59
,60
MVC framework,61
Dynamic Websites,61
Java MultiThreading,61
Java Generic,61
Web Content Management,61
Apache Hive,62
Amazon EC2,62
Amazon SimpleDB (SDB),62
Framework Design,62
API Development,62
Scikit-learn,62
Apache Spark,63
Apache Kafka,63
Amazon Redshift,63
Hive,63
Apache Pig,63
SBT,63
Bitbucket,63
Back-End Web Development,63
Data Engineering,63
Regression Analysis,64
Predictive Analytics,64
RFM,64
Purchase Requisitions,64
Technical Publication,64
Creo,64
Keil,64
SAS Base,64
Web Scraping,64
Snowflake,65
Data Science,65
Apache Spark,65
Exploratory Data Analysis,66
Process Improvement,67
Data Import/export,67
Data Mapping,67
Stored Procedures,67
Task Management,67
Excel Dashboards,67
DevOps,67
Web Scraping,68
Ableton Live,68
labor deployment,68
Pentaho,68
Computational Neuroscience,69
XML Publisher,70
Data Conversion,70
ERP Software,70
Oracle Reports,70
Apache Pig,71
PHPJUnit,71
Jmeter,71
Behavior Driven Development Behat,71
Linxu,71
Service virtualization,71
Cloverleaf,71
iTKO LISA,71
Groovy,71
Sqoop,71
Apache Spark,71
Weka,71
Data Science,71
ETL Testing,72
Star Schema,72
Snowflake Schema,72
OBIEE,72
eBusiness Suite,72
IDQ,72
Data Analytics,73
Data Engineering,73
Cookies,73
Apache Spark,73
Unstructured Data,73
Self-directed Learning,73
Mobile Application Development,73
Full-Stack Development,73
PSD to Joomla,73
Natural Language Processing (NLP),73
Data Lakes,73
Neural Networks,74
Unix Shell Scripting,75
Wire Framing,75
DMExpress,75
Analysis Services,76
Apache Pig,76
Hive,76
Presto,76
Airflow,76
Apache Spark,76
Oracle RAC,77
Capacity Planning,77
OLTP,77
Apache Kafka,77
Presto,77
"DB Design (OLAP, MOLAP, OLTP)",77
Business Intelligence and Analytics,77
"Shell, Perl, Java, C++",77
,78
Gradle,79
SBT,79
Amazon Redshift,79
Struts2,79
Maven2,79
DataStage,80
Ab Initio,80
Big Data Analytics,80
Hive,80
Apache Spark,80
Ab Initio,81
ETL Tools,81
Teradata,81
Social Media Integration,82
Monte Carlo Simulation,83
Image Analysis,83
Medical Physics,83
Positron Emission Tomography,83
Computed Tomography,83
Applied Physics,83
Nuclear Medicine,83
Nuclear Physics,83
Radiation,83
DICOM,83
Radiation Safety,83
Image Reconstruction,83
Scientific Computing,83
Numerical Simulation,83
Radiation Detectors,83
Experimental Physics,83
Molecular Imaging,83
Radiation Therapy,83
Experimentation,83
Radiation Protection,83
Hive,84
J2EE Application Development,84
MVC,84
API Development,84
Web Application Development,84
Apache Kafka,84
Mqtt,84
probability and statistics,85
Predictive Analytics,85
Big Data Analytics,85
Mainframe Testing,85
Bug Tracking,85
Web Testing,85
data,85
OBIEE,86
SQL Tuning,86
Excel Dashboards,86
Excel Pivot,86
Cyber-security,86
Vulnerability Management,86
Vulnerability Scanning,86
Data,86
Confluence,86
Spotfire,86
Intuitive Eating,87
Samza,87
Donuts,87
Apache Pig,87
Voldemort,87
Lucene,87
Front-end,87
Notary Public,87
Cantonese,88
Scikit-Learn,88
SciPy,88
NumPy,88
Matplotlib,88
Amazon EC2,88
Amazon Redshift,88
Amazon Redshift,89
ElasticSearch,89
Hive,89
Elastic Map Reduce,89
Data Engineering,89
Data Quality,89
Data Architecture,89
Data Science,90
Gulp.js,90
Yeoman,90
Macintosh Applications,90
MSBI,90
TIBCO,90
COSMOS,90
yo,90
SSAS,90
Apache Spark ML,91
Deep Learning,91
ASP.NET Web API,91
RabbitMQ,91
Storm,92
Hive,92
Pig,92
Ab initio,93
Alexa,93
Alexa skill interaction,93
Probability Theory,93
Unix Shell Scripting,93
Chatbot,93
data cleaning,93
Hive,93
Apache Pig,93
Data Engineering,93
Scikit-Learn,94
Matplotlib,94
Spark,95
Natural Language Processing,95
Time Series Analysis,95
Bayesian statistics,95
Monte Carlo Simulation,95
Regression Analysis,95
ANOVA,95
Dynamic Programming,95
C++ Language,96
CSS3,96
Linux Kernel,96
Metasploit,96
Apache Camel,96
Greenplum,96
Pentaho,96
Hive,97
Spark,97
Cassandra,97
Teradata,98
Business Intelligence Tools,98
Dimensional Modeling,98
Web Intelligence,98
DataStage,98
Apache Spark,98
Big Data Analytics,98
Data processing,98
Logisim,99
MIPS Assembly,99
Wilderness First Responder,99
Apache Spark,99
Electric Guitar,99
Acoustic Guitar,99
Tornado,99
,100
Talend,101
DataStage,101
Data Quality,102
Toad,102
XQuery,102
Teradata,102
IDQ,102
Oracle Service Bus,102
Dimensional Modeling,102
Data Warehouse Architecture,102
Unix Shell Scripting,102
Master Data Managment,102
Apache Spark,102
Data Science,103
SQLAlchemy,104
Fact-checking,104
System Configuration,104
Alfresco,104
ClearQuest,105
Hive,105
Amazon Redshift,105
Sqoop,105
Oracle Business Intelligence,105
Datastage,106
Teradata,106
MicroStrategy Reporting,106
Data Cubes,106
T-SQL Stored Procedures,106
Query Optimization,106
Dimensional Modeling,106
Pentaho,106
SSAS 2008,106
Social Networking,107
Data Analytics,107
Large-scale Data Analysis,107
Hive,107
Apache Spark,107
Kettle,107
Cloudera Impala,107
Data Engineering,107
Data Science,107
Spark,108
KnockoutJS,109
Grails,109
Apache Pig,109
Hive,109
Networking,110
Socket.io,111
Events Organisation,111
,112
Protocol Buffers,113
TFX,113
Apache Spark,114
GraphLab,114
OpenStack,114
Hive,114
GPFS,114
Airflow,114
Networking,115
Apache Spark,115
Apache Kafka,115
Hive,116
Apache Pig,116
Autosys,116
Sqoop,116
Data Engineering,116
Hive,117
JMP,117
SAS E-Miner,117
COCOMO,117
Visual Paradigm,117
Groovy,117
Google Visualization API,117
Oracle Application Express,118
Hive,118
Apache Spark,118
Apache Pig,118
Data Engineering,118
OLAP,118
Apache Kafka,118
ETL Testing,119
Teradata,119
SQL*Plus,119
Autosys,119
Metadata Management,119
Change Requests,119
Control M,119
Talend,119
Sales Force Marketing Cloud,119
Apache Pig,120
Hive,120
Netezza,120
Pega PRPC,120
Teradata,120
SAS E-Miner,120
Data Science,120
Hive,121
Interpersonal Relationships,121
Amazon Redshift,122
Hive,122
Cassandra,122
Data Science,122
Large-scale Data Analysis,122
Spark,122
ETL Tools,123
Campaign Managment,123
Work Very Well with Others,123
Bilingual Communications,123
AJAX Toolkit,124
CSS3,124
Analytic Problem Solving,124
High degree of initiative,124
Social Networking,124
EPR,124
EPM,124
Numpy,125
Scipy,125
NLTK,125
NI Multisim,125
Altium Designer,125
ModelSim,125
Xilinx ISE,125
Piano Playing,125
Vim,125
Tmux,125
Gitlab,125
Go,125
Golang,125
Middleware,126
Weblogic Administration,126
Back-End Web Development,126
MVC,126
Regular Expressions,126
Cloud Storage,126
Apache Spark,126
Hive,126
Cassandra,126
Apache Kafka,127
Puppet,127
Apache Spark,127
KnockoutJS,127
CodeSmith,127
RSpec,127
BDD,127
Code Generation,127
ADFS 2.0,127
Groovy,127
Hive,127
Avro,127
Vim,127
Apache ZooKeeper,127
Sqoop,127
Panda,128
Nose,128
PyQt,128
Apache Kafka,128
Apache Storm,128
CreateJS,128
Greenplum,128
Mock,128
Squirrel,128
Sonarqube,128
boto3,128
Snowflake,128
AWS CWI,128
Pentaho,128
Hive,129
SAP HANA,129
Spark,129
Big Data Analytics,129
SAP Basis,129
SAP Lumira,129
Excel Dashboards,129
Qlik Sense,129
Google Sheets,129
Data Wrangling,129
Unix Shell Scripting,130
Talend Open Studio,130
Amazon EC2,130
Snowflake,130
Apache Spark,130
Spark,130
Presto,130
feature engineering,130
Software Engineering Practices,131
Algorithm Analysis,131
,132
RStudio,133
Hive,133
Deep Learning,133
Apache Spark,133
GNU Octave,133
Solr,133
SPARQL,133
Natural Language Processing,133
Topic Modeling,133
Transfer Learning,133
Data Engineering,133
Latent Dirichlet Allocation,133
scikit,133
Random Forest,133
presto,133
OLAP,134
Dashboards,134
Reporting,134
Business Objects XI R2,134
Apache Spark,134
Amazon Redshift,134
Data Architecture,134
ER/Studio,134
Job Scheduling,135
Pattern Recognition,135
High Performance Computing,135
Heterogeneous Computing,135
Graph Algorithm,135
Knowledge Graph,135
Deep Learning,136
Artificial Neural Networks,136
Neural Networks,136
Kafka,136
Akka,136
Amazon EC2,136
Amazon VPC,136
Apache Spark,136
Conference Speaking,136
Amazon,136
Kubernetes,136
CUDA,136
SuccessFactors,137
PowerPivot,137
Apache Spark,137
DevOps,137
VSTS,137
Continuous Integration and Continuous Delivery (CI/CD),137
Market Data,138
Unix Shell Scripting,138
Amazon Redshift,139
eBanking,139
Amazon EC2,139
Netezza,139
Apache Kafka,139
Apache ZooKeeper,139
Presto,139
Hive,139
Spark,139
J2EE Application Development,139
Amazon Data Pipeline,139
CSS Javascript,139
Talend,140
OBIEE,140
FCCM,140
Relational Data Modeling,141
Microsoft Dynamics AX,141
X++,141
Business Intelligence Tools,141
RapidMiner,141
Dimensional Modeling,141
Big Data Analytics,141
Text Mining,141
DataStage,141
SAP Lumira,141
Hive,141
C# 4.0,141
Communication Skills,141
Cognitive Science,142
Neural Networks,142
Spark,143
Hive,143
Apache Pig,143
Apache Storm,143
Apache Kafka,143
Sqoop,143
Recommender Systems,143
FinTech,143
Deep Learning,143
Amazon Redshift,143
Pycharm,143
PCA,143
Apache Spark,143
Data engineer,143
Spark machine learning,143
spark SQL and DataFrame,143
Process Improvement,144
Big Data Analytics,144
WebFOCUS,144
Data Engineering,144
Apache Spark,145
Apache Pig,145
Hive,145
Cloudera Impala,145
Apache Kafka,145
Data Quality,146
Data Warehouse Architecture,146
Oracle Warehouse Builder,146
Data Marts,146
Dimensional Modeling,146
Business Intelligence Tools,146
Apache Spark,147
Clojure,147
Graph Theory,147
Clustering Algorithms,147
Tulip (Graph Editor),147
Gephi,147
Maple,147
Netezza,147
Aginity,147
Social Network Analysis,147
Calculus,147
Celery,147
Oil stains,147
Go (Programming Language),148
Scheme,148
NumPy,149
Matplotlib,149
Scikit-Learn,149
Exploratory Data Analysis,149
Supervised Learning,149
Unsupervised Learning,149
Apache Spark,149
Hive,149
Big Data Analytics,149
Hypothesis Testing,149
Logistic Regression,149
Decision Trees,149
Support Vector Machine (SVM),149
Random Forest,149
Deep Learning,149
Linear Regression,149
Structural Thinking,149
Communication Skills,149
Data Munging,149
Unstructured Data,149
Anomaly Detection,149
Process Improvement,150
Teradata,150
Hive,150
amazon redshift,150
Sqoop,150
Apache Spark,150
Spark,151
,152
Pentaho,153
Weka,153
Predictive Analytics,153
Omniture,153
Neilson,153
Simmons,153
comScore,153
Eplan,153
Dimensional Modeling,153
Dashboard,153
eTelmar,153
Unix Shell Scripting,153
Hive,154
Apache Kafka,154
Greenplum,154
Apache Pig,154
Data Science,154
Cassandra,154
Titan,154
Deep Learning,154
Business Intelligence Tools,155
Stored Procedures,155
Autosys,155
ODI,155
Teradata Data Warehouse,155
Apache Spark,155
Oracle Discoverer,155
Control-M,155
ElasticSearch,155
Apache Kafka,155
Business Intelligence Tools,156
ETL Tools,156
Talend,156
Tableau Business Intelligence,156
Postgresql RDBMS,156
Talend Data Integration Development and Integration,156
IBM Information Server (DataStage),156
Data Systems Architecture,156
Functional Programming,157
OCaml,157
Apache Spark,157
Haskell,157
Apache Pig,157
Numerical Linear Algebra,157
Product Analytics,158
Scheme,158
Optimizely,158
Data Science,158
SAP Production Planning,159
Remedy Ticketing System,159
RDBMS,159
SAP PP,159
Apache Spark,160
Apache Pig,160
Product Analysis,160
Predictive Analytics,160
Time Series Analysis,160
Big Data Analytics,160
Oracle ERP,161
Oracle Internet of Things applications,161
Oracle Reports,161
Axure RP,162
Statsitics,162
Data Analytics,162
Data Engineering,162
Teradata,162
Data Science,162
Data Analytics and Visualization,163
Deep Learning,163
GNU/Linux,163
Website Development,163
Firefox Application Development,163
Neo4j,163
SciPy,163
OpenCV,163
Scikit-Learn,163
Express.js,163
Amazon Dynamodb,163
Amazon Redshift,163
Natural Language Processing (NLP),163
Information Retrieval,163
Apache Spark,164
Talend Open Studio,164
Hive,164
Apache Pig,164
Apache Kafka,164
Apache Spark,165
Cassandra,165
KDB,165
Unix Shell Scripting,165
ColdFusion,165
KDB+,165
GWT,165
Data Engineering,166
Apache Spark,166
Stream Processing,166
Query Optimization,166
Go,166
NSQ,166
Matillion,166
Snowflake,166
Hive,166
API Development,166
Data Infrastructure,167
Nonlinear,167
CASSANDRA,167
Apache Spark,167
Map,167
COMSOL,167
Maple,167
Microstrategy,168
PowerPivot,168
SSAS,168
Cognos ReportStudio,168
Cognos 10.1,168
Excel Reporting,168
Business Intelligence Tools,168
Apache Spark,169
Apache Hive,169
EDA,169
Predictive Modeling,169
IDL,169
Software Engineering Practices,170
Apache Spark,170
Statistical Programming,171
multipotentialite,171
Logistic Regression,171
Linear Regression,171
Classical Guitar,171
Survival Analysis,171
Marathon,171
Cocoa,171
Triathlon,171
Apache Spark,171
OBIEE,172
Oracle Data Integrator (ODI),172
Data Governance,172
Spark,172
kafka,172
Amazon Redshift,172
Data Warehouse Architecture,172
Airflow,172
SQL*Plus,173
HTML/XML,173
Energy Markets,174
Policy,174
ODI,174
Data Warehouse Architecture,174
DevOps,174
Snowflake,174
Snowflake Data Warehouse,174
Scientific Computing,175
Pipeline Development,175
Bayesian statistics,175
Markov Chain Monte Carlo,175
Parallel Processing,175
Matplotlib,175
Pygame,175
Unity3D,175
RStudio,175
Scikit-Learn,175
Groovy,176
PgAdmin,176
Web Scraping,176
Confluence,176
Facebook API,176
Twitter API,176
Amazon Redshift,176
Wireshark,176
Snowflake,176
Segment,176
NumPy,177
Scikit-Learn,177
Apache Kafka,177
ETL Tools,177
ElasticSearch,177
Neo4j,177
Secure Shell (SSH),177
FAAS,177
Celery,177
Message Queue,177
sqlite3,177
Hive,178
Problem Soving,179
Visual Modflow,179
NLP,180
Hive,180
Apache Pig,180
Sqoop,180
ServiceNow,180
Big Data Analytics,181
Cloud Applications,181
Software Architectural Design,181
Software Solution Architecture,181
machin learning,181
Talend Open Studio,182
Dimensional Modeling,182
Qlik Sense,182
PowerPivot,182
Orange,182
Hive,182
Confluence,183
Microsoft Visual Studio C++,183
Database Development,183
WordPress Design,183
Project Documentation,183
Data Reporting,183
Data Engineering,183
R Studio,184
JMP,184
Apache Pig,184
Hive,184
Big Data Analytics,184
ANOVA,184
Vertica,184
ECL,184
HPCC,184
Apache Spark,185
Bitbucket,185
WinSCP,185
Teradata,186
Data Warehouse Architecture,186
Hive,186
Apache Pig,186
Marketing Analytics,186
Bing Ads,186
Mailchimp,186
Unix Shell Scripting,186
Pyhton,186
Google Adwords API,186
Facebook Marketing API,186
Apple Search Ads,186
Multi Channel Attribution,186
Yahoo Gemini,186
Taboola,186
Adroll,186
Liveramp,186
Sizmek,186
Mandrill,186
Ext JS,187
Big Data Analytics,187
Data Science,187
weka,187
Apache Spark,187
Predictive Analytics,187
Data Analytics,187
Snowflake,187
Kubernetes,187
Slang,188
Virtual DJ,188
Social Networking,188
Social Networking,189
Mean Stack,189
Teradata SQL,189
Amazon EC2,189
Amazon Dynamodb,189
Certified Salesforce.com Developer,189
Matplotlib,190
Switching Regulators,191
PSIM,191
Altium Designer,191
Monte Carlo Simulation,191
etap,191
Assembly,191
MS Office Suite,191
Apache Pig,192
F#,192
OCaml,192
,193
Teradata,194
Ab Initio,194
MVC,194
Spark,194
Apache Pig,194
Hive,194
Creativity,195
Functional Programming,195
OBIEE,196
Star Schema,196
Business Intelligence Tools,196
Hive,196
Database Development,196
Functional Analysis,196
Functional Design,196
Offshore Project Management,196
Technical Design,196
Integration Testing,196
RDBMS,197
Parallel Programming,197
Apache ZooKeeper,197
Apache Spark,197
Apache Kafka,197
Data Science,198
Apache Spark,198
Drools,198
JBPM,198
Interactive Video,199
Talent Acquisition,199
ALM,200
Marketing Analytics,200
KPI Reports,200
Digital Channels,200
Apache Storm,201
F#,201
DFS,201
TypeScript,201
Functional Programming,201
Natural Language Processing,201
Lucene,201
Amazon Redshift,201
Hive,202
HQL,202
Apache Spark,202
Process Improvement,203
Business Object,203
SAP BODS,203
Human Capital Management,203
Big Data Analytics,204
Professional Mentoring,204
Smart Working,204
BPMN,204
Mechanical Analysis,205
Supplier Management,205
ODM management,205
Mechanical Drawings,205
Pro/Engineering,205
Mechanical Testing,205
Apache Spark,205
Data Analytics,205
,206
Autosys,207
Microstrategy,207
Healthcare Data Modeling,207
Bitbucket,208
Caffee,208
Apache Kafka,208
Apache Spark,208
Amazon Redshift,208
Amazon EC2,208
Regular Expressions,209
Derivatives Trading,209
Selenium WebDriver,209
Ranorex,209
SSAS,209
MIPS,210
Networking,210
Cantonese,210
Structured Programming,210
Socket Programming,210
Network Programming,210
Xinu,210
OBIEE,210
Real-time Programming,210
Reverse Engineering,210
MicroStrategy,211
Talend,211
OTM,211
"AKANA API, CLEO MFT",211
ADF,211
Teradata,211
Cloudera Impala,211
Apache Spark,211
Exploratory Data Analysis,212
ElasticSearch,212
Kibana,212
Business Intelligence Tools,212
Talend,212
Unix Shell Scripting,213
Dimensional Modeling,213
Autosys,213
Graph Theory,213
Hive,213
Sqoop,213
Apache Pig,213
Spark,213
Networking,214
Hardware,214
Process Improvement,214
Amazon Redshift,215
Hive,215
Data Science,215
Data Analytics,215
Apache Pig,215
Marketing Campaigns,216
Web Services API,216
Web Scraping,216
Continuous Integration and Continuous Delivery (CI/CD),216
Excel Pivot,217
User Stories,217
Database Development,217
Apache Spark,217
MariaDB,218
Trademark Infringement,218
Patent Litigation,218
Weka,218
Data Science,218
Atom,218
Data Engineering,218
COSMOS,219
Data Engineering,219
SQL Azure,219
Relational Data Modeling,219
Data Analytics,219
Data Transformation,219
Cassandra,220
Presto,220
Airflow,220
CoffeeScript,220
Grails,220
Groovy,220
OpenID,220
Natural Language Processing,220
Gentoo Linux,220
Apache Spark,220
Apache Kafka,220
Amazon Redshift,220
Spark,220
CSS3,220
Cassandra,221
Apache Kafka,221
Apache Pig,221
Lua,221
Amazon Redshift,221
Smartsheet,222
C++ Language,222
Memcached,223
Google API,223
Amazon EC2,223
DOM,223
Smarty,223
FogBugz,223
hudson,223
Agile Modeling,223
Nginx,223
Cloud Foundry,224
Pivotal Web Services,224
Social Media Outreach,224
Program Coordination,224
Workshops,224
Business Writing,224
Apache Spark,224
Avro,224
Database Management System (DBMS),225
Collaboration,225
STLC,226
Application Lifecycle Management,226
Web Services API,226
Mobile Testing,226
Defect Life Cycle,226
Test Effort Estimation,226
Teradata,226
NumPy,226
Scikit-Learn,226
,227
Hive,228
Look ML,228
Apache Spark,229
Information Retrieval,229
Data Engineering,229
Cloud Applications,229
Database Development,230
Data Loading,230
Apache Spark,230
Data Engineering,230
Lithuanian,230
Web Mining,231
Data Engineering,231
Data Science,231
Data Quality,231
Spark,231
Natural Language Processing,231
Deep Learning,231
Market Data,231
Financial Risk Management,231
Pattern Recognition,231
Social Network Analysis,231
Internet of Things,231
Alpha Generation,231
Systematic Approach,231
Hive,232
Networking,233
New Business Development,233
Talent Acquisition,233
Social Networking,234
ETL Tools,235
WMLScript,235
Selenium WebDriver,236
Selenium Testing,236
Web Scraping,236
NumPy,236
SciPy,236
Matplotlib,236
Linear Programming,236
datascience,237
Apache Spark,238
Hive,238
Apache Pig,238
Sqoop,238
Apache Spark,239
Data Science,240
Apache Kafka,240
Hive,240
Airflow,240
Information Retrieval,241
Exadata,242
SQL Tuning,242
J2EE Web Services,242
PowerBuilder,242
Haddop,242
Ad Exchanges,243
Charles,243
Terminal,243
Vim,243
DWH,244
Teradata,244
DataStage,244
Regression Analysis,244
ADVANCED SQL,244
Obieee,245
Pentaho,245
ETL Tools,245
,246
