Skills & Endorsements,ID
Java,386
Statistics,386
SQL,386
Linux,387
Microsoft SQL Server,387
Software Development,387
Integration,388
Software Development,388
Product Management,388
Data Analysis,389
Computer Graphics,389
Mathematical Modeling,389
Big Data,390
SQL,390
Software Development Life Cycle (SDLC),390
Big Data,391
Apache Spark,391
Python,391
Python,392
HTML,392
Java,392
Business Analysis,393
Business Intelligence,393
Project Management,393
Business Intelligence,394
Data Modeling,394
Data Warehousing,394
Software Development,395
Data Engineering,395
Distributed Systems,395
Software Development,396
Algorithm Design,396
Data Science,396
Public Speaking,397
Leadership,397
Public Relations,397
,398
Apache Spark,399
Machine Learning,399
Data Mining,399
Data Analysis,400
Actuarial Science,400
Financial Analysis,400
Presto,401
Teradata,401
spark,401
Java,402
Ruby,402
Python,402
Microsoft Office,403
Social Media,403
PowerPoint,403
Big Data,404
Data Engineering,404
Software Development,404
Python,405
MySQL,405
Apache,405
Java,406
Software Engineering,406
Big Data Analytics,406
Databases,407
ETL,407
Python,407
Matlab,408
Microsoft Excel,408
C++,408
Python,409
Machine Learning,409
OpenStack,409
"Extract, Transform, Load (ETL)",410
Data Analysis,410
SQL,410
SQL,411
ProModel,411
Microsoft Office,411
Hadoop,412
Hive,412
Data Warehousing,412
Python,413
Data Analytics,413
Business Modeling,413
JavaScript,414
CSS,414
Data Visualization,414
Data Warehousing,415
Oracle,415
ETL,415
Python,416
Machine Learning,416
Analytics,416
E-commerce,417
BigData,417
Hadoop,417
,418
Tableau,419
Amazon Web Services (AWS),419
Apache Spark,419
R,420
Python,420
SQL,420
Docker,421
Amazon Web Services (AWS),421
Enterprise Architecture,421
post gre sql,422
Python (Programming Language),422
Tableau,422
Social Media Marketing,423
Social Media,423
Facebook,423
PL/SQL,424
Oracle,424
SQL,424
SQL,425
Business Intelligence,425
Python,425
MySQL,426
Java,426
Sqoop,426
Software Development,427
Software Project Management,427
Artificial Intelligence,427
Machine Learning,428
Data Analysis,428
R,428
Hadoop,429
Java,429
Spring Boot,429
Data Warehousing,430
Python,430
Scala,430
Java,431
Python,431
r language,431
Hive,432
Hadoop,432
PYTHON,432
Data Warehousing,433
Business Intelligence,433
Data Modeling,433
Python,434
SQL,434
Software Engineering,434
SQL,435
Hive,435
Hadoop,435
Business Analysis,436
SQL,436
Python,436
Data Center,437
Servers,437
Software Installation,437
JavaScript,438
React.js,438
Node.js,438
Java,439
Angular JS,439
Django,439
Amazon Web Services (AWS),440
Python,440
SQL,440
Linux,441
Hadoop,441
Java,441
C,442
C++,442
Java,442
Ruby on Rails,443
Perl,443
EHR,443
hadoop hive hbase sqoop flume,444
Python & Spark,444
SQL & Shell scripting,444
Python,445
R,445
C,445
Java,446
Databases,446
SQL,446
Data Analysis,447
Statistics,447
Python,447
Software Architectural Design,448
Design Patterns,448
Software Development,448
Microsoft SQL Server,449
Business Intelligence,449
SQL,449
Machine Learning,450
Statistical Analysis,450
spark,450
Python,451
R,451
Programming,451
Data Analysis,452
Data Warehousing,452
Business Intelligence,452
Hadoop,453
Amazon Web Services (AWS),453
Big Data,453
Data Warehousing,454
DB2,454
ETL,454
Linux,455
Python,455
Troubleshooting,455
Data Warehousing,456
Data Modeling,456
ETL,456
Apache Spark,457
Hadoop,457
Java,457
Cloud Computing,458
Amazon Web Services (AWS),458
Apache Spark,458
Python,459
Statistics,459
Machine Learning,459
Ab Initio,460
Shell Scripting,460
Linux,460
Big Data,461
Machine Learning,461
R Language,461
Java,462
Perl,462
JavaScript,462
SQL,463
Business Intelligence,463
Python,463
Data Warehousing,464
Shell Scripting,464
Microsoft SQL Server,464
Microsoft Excel,465
Management,465
Microsoft Office,465
Apache Spark,466
Scala,466
Cloudera Impala,466
Data Science,467
Python,467
Data Analysis,467
Hadoop,468
HDFS,468
Apache Pig,468
SQL,469
Data Warehousing,469
Hadoop,469
Deep Learning,470
Python,470
Microsoft Excel,470
Hadoop,471
Big Data,471
Distributed Systems,471
Hadoop,472
Apache Spark,472
Java,472
Business Intelligence,473
Statistical Data Analysis,473
Agile & Waterfall Methodologies,473
Hadoop,474
Distributed Systems,474
Lucene,474
Product Analytics,475
Data Engineering,475
Business Intelligence,475
Data Engineering,476
ETL,476
SQL,476
R,477
Machine Learning,477
Statistics,477
Unix,478
Java,478
SQL,478
Amazon Redshift,479
Amazon Web Services (AWS),479
Amazon RDS,479
Linux,480
Python,480
Networking,480
Leadership,481
Public Speaking,481
Data Analytics,481
Matlab,482
Linux,482
C++,482
Java,483
Tomcat,483
Hibernate,483
MySQL,484
Python,484
Google Cloud Platform (GCP),484
Python,485
SQL,485
R,485
SQL,486
"Extract, Transform, Load (ETL)",486
Data Modeling,486
Databases,487
XML,487
JavaScript,487
Integration,488
Software Development,488
Enterprise Software,488
C,489
C++,489
SQL,489
Big Data,490
Data Engineering,490
Data Science,490
Oracle,491
Data Warehousing,491
Informatica,491
Business Intelligence,492
Business Objects,492
Business Intelligence Tools,492
Python,493
SQL,493
R,493
Apache Kafka,494
Python (Programming Language),494
SQL Tuning,494
Business Intelligence,495
Business Analysis,495
SQL,495
Java,496
Scala,496
Apache Spark,496
Computational Fluid Dynamics (CFD),497
CFD ++,497
Microsoft Office,497
Java,498
Android,498
SQL,498
Python,499
Scala,499
Java,499
Python,500
Machine Learning,500
Product Management,500
Machine Learning,501
Python,501
R,501
Microsoft Excel,502
Microsoft Office,502
PowerPoint,502
Data Warehousing,503
Google Cloud Platform,503
Business Intelligence,503
R,504
CPLEX,504
C++,504
Data Analysis,505
Google Analytics,505
Machine Learning,505
Python,506
Java,506
Artificial Intelligence,506
Microsoft Office,507
Final Cut Pro,507
Adobe Creative Suite,507
Java,508
Data Modeling,508
SQL,508
SQL,509
Python,509
R,509
SQL,510
Python,510
Apache Spark,510
Algorithms,511
Java,511
C++,511
Machine Learning,512
Data Mining,512
Big Data,512
Oracle E-Business Suite,513
Business Analysis,513
Oracle Applications,513
Java,514
Python,514
Amazon Web Services (AWS),514
Databases,515
SQL,515
System Administration,515
Python,516
Java,516
Hadoop,516
MySQL,517
Tomcat,517
Web Applications,517
Mechanical Engineering,518
Microsoft Office,518
Supply Management,518
Java Enterprise Edition,519
Hibernate,519
Java,519
Software Development,520
Apache Spark,520
Microsoft Azure,520
Java,521
Amazon Web Services (AWS),521
Microsoft Word,521
Java,522
SQL,522
XML,522
Nonprofits,523
Management,523
Case Management,523
Data Engineering,524
Software Engineering,524
Full-Stack Development,524
Data Analysis,525
SQL,525
Python,525
Algorithms,526
Matlab,526
Mathematical Modeling,526
Java,527
Big Data Analytics,527
Apache Kafka,527
HTML 5,528
jQuery,528
User Experience,528
Tableau,529
SQL,529
Python,529
Machine Learning,530
Python (Programming Language),530
Data Science,530
Data Mining,531
Data Science,531
Big Data,531
C++,532
OOP,532
Android,532
Big Data,533
Apache Spark,533
Cassandra,533
Databases,534
Data Warehousing,534
SQL,534
Statistical Modeling,535
Machine Learning,535
Python,535
Data Warehousing,536
Data Modeling,536
ETL,536
Python,537
SQL,537
Java,537
Informatica,538
PL/SQL,538
Data Warehousing,538
Java,539
Cloud Computing,539
Architectures,539
Spark,540
Hadoop,540
Big Data,540
Business Intelligence (BI),541
Database Development,541
Microsoft Azure,541
Data Warehousing,542
Business Intelligence,542
Requirements Analysis,542
SQL,543
C,543
Python,543
Machine Learning,544
Econometrics,544
Data Engineering,544
Python,545
Algorithms,545
SQL,545
SQL,546
python,546
Predictive Modeling,546
Microsoft Office,547
Microsoft Excel,547
Tableau,547
C,548
Programming,548
Linux,548
Python,549
SQL,549
Machine Learning,549
Hadoop,550
SQL,550
MapReduce,550
Statistical Modeling,551
R,551
Python,551
Java,552
C#,552
C++,552
Microsoft Office,553
Programming,553
SQL,553
Microsoft SQL Server,554
Oracle12C,554
MySQL,554
Machine Learning,555
Data Engineering,555
"Extract, Transform, Load (ETL)",555
Data Preparation,556
Web Development,556
Machine Learning,556
C++,557
Java,557
Python,557
PL/SQL,558
Shell Scripting,558
Informatica,558
Python,559
SQL,559
HQL,559
Software Development,560
Java,560
Algorithms,560
Python,561
Data Warehousing,561
ETL,561
C++,562
SQL,562
Python,562
R,563
Prescriptive Analytics,563
Predictive Analytics,563
Requirements Analysis,564
DB2,564
SDLC,564
Data Analysis,565
Microsoft Office,565
Power BI,565
Java,566
MySQL,566
JavaScript,566
Matlab,567
Java,567
Biomedical Engineering,567
Software Development,568
Linux,568
Analysis,568
Databases,569
SQL,569
Data Analysis,569
Python,570
Data Science,570
Software Development,570
Data Analysis,571
Microsoft Excel,571
Microsoft Office,571
Hadoop,572
Java,572
Hive,572
SDLC,573
Oracle,573
Databases,573
SQL,574
Microsoft SQL Server,574
SSRS,574
PL/SQL,575
Data Warehousing,575
SQL,575
Data Science,576
AngularJS,576
JavaScript,576
Hadoop,577
Java,577
HTML,577
Machine Learning,578
Big Data,578
Databases,578
SQL,579
PL/SQL,579
Oracle,579
Java,580
Java Enterprise Edition,580
Integration,580
XML,581
Eclipse,581
Java,581
Java,582
IntelliJ IDEA,582
Scala,582
Java,583
Algorithms,583
Data Structures,583
Scala,584
Hadoop,584
Python,584
Analytics,585
Data Mining,585
SAS,585
Business Intelligence,586
Data Warehousing,586
Tableau,586
Algorithms,587
Python,587
R,587
Python,588
MySQL,588
Amazon Web Services (AWS),588
Hadoop,589
Apache Spark,589
Scala,589
HTML,590
SQL,590
Java,590
Java,591
HTML,591
JavaScript,591
Data Warehousing,592
Business Intelligence,592
Crystal Reports,592
SQL,593
HTML,593
C++,593
SQL,594
Java,594
Apache Spark,594
Python (Programming Language),595
SQL,595
Project Management,595
Data Analysis,596
MySQL,596
Data Engineering,596
Data Engineering,597
SQL,597
Python,597
Core Java,598
SQL,598
Data Structures,598
Python,599
Data Analysis,599
SQL,599
Python,600
Exploratory Data Analysis,600
Tableau,600
Data Analysis,601
Python,601
Data Mining,601
SQL,602
Unix,602
Agile Methodologies,602
Agile Methodologies,603
SDLC,603
Software Development,603
Python,604
Machine Learning,604
Deep Learning,604
Statistics,605
Data Analysis,605
R,605
ETL,606
Requirements Analysis,606
DataStage,606
"Hadoop(Map Reudce/HDFS/PIG/HIVE), ETL (AB Initio,Teradata), Unix,Core Java",607
Python,607
Data Warehousing,607
Hadoop,608
Competitive Programming,608
